Student_ID,First_Name,Last_Name,Email,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Gender_Female,Gender_Male,Department_Business,Department_CS,Department_Engineering,Department_Mathematics,Average_Score,Study_Efficiency,Stress_Sleep_Ratio
S1000,Omar,Williams,student0@university.com,0.4833161189220729,1.5236710150622843,-1.7140873227061324,-0.5647937581957029,-0.07385673231779798,-1.492523650759084,0.8181807342165317,-0.7984727850423682,-1.6155391865443907,-2.1448747865699054,-1.1563403268947758,0.9936318605135792,-1.0068376864865927,0.5696604724989758,0.010450627419638547,-1.5614378412205887,-0.42723989197479756,True,False,False,False,False,True,-1.1271989437259489,0.5220543242622233,-1.3937899904401805
S1001,Maria,Brown,student1@university.com,-1.5256703776108353,1.5479705899236031,-0.7601313363811907,0.27739171896047976,-0.03624664022868369,1.630289942522574,1.3219130358272506,1.6329815203754887,1.4749438903351573,1.7692438653985951,1.3067558902269034,-1.006408952590479,-1.0068376864865927,-1.4016922016758144,-1.2164530316459259,-0.5200850525860662,-1.5336401305981648,False,True,True,False,False,False,1.7226506429399715,-0.7522745904910038,0.08409393662561508
S1002,Ahmed,Jones,student2@university.com,1.4878093671885269,1.6736341056349977,-1.6436571988658153,-0.31664459744919726,0.773066822874099,-1.7122155968465866,-1.5521212603489754,1.1513625692316856,-0.517060816398216,-0.8401685692470717,-0.8484532997545661,0.9936318605135792,-1.0068376864865927,-1.4016922016758144,-1.2164530316459259,1.2155029284714716,-0.28893986214687717,False,True,False,False,True,False,-1.709140749720744,0.3608262621805151,1.1432043326720034
S1004,John,Smith,student4@university.com,0.9855627430552999,-1.111097173472201,-0.9971888263803058,-0.43837814800408664,-0.49383609397956946,0.6427157369241803,0.5042106010208093,0.890972294647519,1.8715222856281233e-05,0.46453764807576176,-0.716501716694476,0.9936318605135792,-1.0068376864865927,0.5696604724989758,0.010450627419638547,0.17415013983694896,-1.395340100770244,True,False,False,True,False,False,0.1093711351376982,0.31864388224828705,0.8671937446114288
S1005,Liam,Brown,student5@university.com,-0.018930505211154185,-1.0284786189437147,-0.019183529475744407,-0.27977337780997574,0.9123634602411874,-1.5555897930113327,0.176439582849451,-0.4680038613616703,-0.4647356223410641,-0.8401685692470717,1.0428527241067234,0.9936318605135792,-1.0068376864865927,-0.4160158645884193,0.010450627419638547,0.17415013983694896,-0.6346899367166794,False,True,False,False,False,True,-0.3636534882965866,-0.9035910176752302,0.3583940067305363
S1006,Ahmed,Jones,student6@university.com,1.4878093671885269,-0.5834492621978371,1.1626683047227426,1.432689934322748,0.9924590267272636,-1.4232201977346355,-1.1794973660067996,0.8964686592825408,1.606879131650843,1.7692438653985951,0.5736915398930703,0.9936318605135792,-1.0068376864865927,-0.4160158645884193,1.237354286485203,-1.2143202450090813,-1.741090175340046,False,True,True,False,False,False,0.39066551158529705,-0.42064680970919016,-0.7517145122823204
S1007,Ahmed,Smith,student7@university.com,-1.0234237534776083,-0.6598193546191271,1.212484733780528,-0.5729873625599743,-1.6736786124788077,-1.4467833717629481,0.176439582849451,1.0702911908651116,-0.004821014522375396,0.46453764807576176,-0.21801795846746974,0.9936318605135792,0.9932087499520872,-0.4160158645884193,-1.2164530316459259,-0.1729674563745586,0.8866103913904504,False,True,False,False,True,False,-0.2887166664109452,-0.18127336173104644,-0.4777454226541474
S1008,Omar,Smith,student8@university.com,-0.018930505211154185,1.5563018727331988,0.3678958503295743,-0.381022917454187,-1.223053990596277,0.3031288171043813,1.6462338327547,-1.1605458053744426,-0.777494389500364,-0.8401685692470717,-0.012759940373996154,-1.006408952590479,0.9932087499520872,1.5553368095863709,1.237354286485203,1.2155029284714716,-1.1878900560283627,True,False,False,True,False,False,0.3949411861073005,-0.4710941832372103,1.9194841115923662
S1009,Sara,Smith,student9@university.com,0.4833161189220729,0.9745006231964669,1.4398079790212253,1.0364706375647665,-0.982070807951214,1.3925790986487145,0.462807946093901,0.5927945131975754,1.5925703654475485,1.7692438653985951,-1.288291909954866,0.9936318605135792,-1.0068376864865927,-0.4160158645884193,1.237354286485203,0.8683853322599641,0.40256028699272717,True,False,True,False,False,False,1.595280549284499,1.8868168407137502,0.4658869090997387
S1010,John,Smith,student10@university.com,0.9855627430552999,0.7488617137699299,-0.031208184765554238,0.9527788215582805,-0.49940795947425287,0.21234129364235332,-0.16513232029754313,1.2832753204722138,1.2040593066237373,0.46453764807576176,-1.5082112150550158,0.9936318605135792,0.9932087499520872,-1.4016922016758144,-1.2164530316459259,-0.5200850525860662,1.1632104510462917,True,False,True,False,False,False,0.574294480530288,2.489882539196028,-0.775405852627107
